Source_row,中文名,学名,省份,引用,原搁置原因,建议裁定,置信度,裁定依据
101,陈氏蛙,Rana chensinensis,陕西,Shuxuan GAO and Huijun SHEN and Xinyue YANG and Zhuo CHEN and Yinmeng HOU and Xiaohong CHEN (2024). A New Brow,记录类型无法判定（原表未标注且引用无线索）,待人工复核-未能在线定性,需人工,文献类型未能在线确认，建议查网盘原文（新纪录报道→事件表；调查/分类文→排除）
102,昆嵛山蛙,Rana kukunoris,,Shuxuan GAO and Huijun SHEN and Xinyue YANG and Zhuo CHEN and Yinmeng HOU and Xiaohong CHEN (2024). A New Brow,记录类型无法判定（原表未标注且引用无线索）,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
104,陈氏蛙,Rana chensinensis,陕西,Shuxuan GAO and Huijun SHEN and Xinyue YANG and Zhuo CHEN and Yinmeng HOU and Xiaohong CHEN (2024). A New Brow,记录类型无法判定（原表未标注且引用无线索）,待人工复核-未能在线定性,需人工,文献类型未能在线确认，建议查网盘原文（新纪录报道→事件表；调查/分类文→排除）
105,昆嵛山蛙,Rana kukunoris,,Shuxuan GAO and Huijun SHEN and Xinyue YANG and Zhuo CHEN and Yinmeng HOU and Xiaohong CHEN (2024). A New Brow,记录类型无法判定（原表未标注且引用无线索）,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
110,中国林蛙,Rana chensinensis,陕西,Shuxuan GAO and Huijun SHEN and Xinyue YANG and Zhuo CHEN and Yinmeng HOU and Xiaohong CHEN (2024). A New Brow,记录类型无法判定（原表未标注且引用无线索）,待人工复核-未能在线定性,需人工,文献类型未能在线确认，建议查网盘原文（新纪录报道→事件表；调查/分类文→排除）
111,高原林蛙,Rana kukunoris,,Shuxuan GAO and Huijun SHEN and Xinyue YANG and Zhuo CHEN and Yinmeng HOU and Xiaohong CHEN (2024). A New Brow,记录类型无法判定（原表未标注且引用无线索）,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
115,中国林蛙,Rana chensinensis,陕西,Huijun SHEN and Mengyu XU and Xinyue YANG and Zhuo CHEN and Nengwen XIAO and Xiaohong CHEN (2022). A New Brown,记录类型无法判定（原表未标注且引用无线索）,待人工复核-未能在线定性,需人工,文献类型未能在线确认，建议查网盘原文（新纪录报道→事件表；调查/分类文→排除）
118,高原林蛙,Rana kukunoris,,Huijun SHEN and Mengyu XU and Xinyue YANG and Zhuo CHEN and Nengwen XIAO and Xiaohong CHEN (2022). A New Brown,记录类型无法判定（原表未标注且引用无线索）,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
119,东北林蛙,Rana dybowskii,,Huijun SHEN and Mengyu XU and Xinyue YANG and Zhuo CHEN and Nengwen XIAO and Xiaohong CHEN (2022). A New Brown,记录类型无法判定（原表未标注且引用无线索）,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
121,,Bungarus magnimaculatus,,SANG NGOC NGUYEN and VU DANG HOANG NGUYEN and THANG QUOC NGUYEN and NGAN THANH THI LE and LUAN THANH NGUYEN an,记录类型无法判定（原表未标注且引用无线索）,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
132,棘疣树蛙,Theloderma moloch,西藏,Ke JIANG and Fang YAN and Kai WANG and Da-Hu ZOU and Cheng LI and Jing CHE (2016). A new genus and species of ,记录类型无法判定（原表未标注且引用无线索）,待人工复核-未能在线定性,需人工,文献类型未能在线确认，建议查网盘原文（新纪录报道→事件表；调查/分类文→排除）
139,峨山掌突蟾,Leptobrachella oshanensis,四川,Shengchao SHI and Yinmeng HOU and Zhaobin SONG and Jianping JIANG and Bin WANG (2021). A New Leaf Litter Toad ,记录类型无法判定（原表未标注且引用无线索）,待人工复核-未能在线定性,需人工,文献类型未能在线确认，建议查网盘原文（新纪录报道→事件表；调查/分类文→排除）
141,峨山掌突蟾,Leptobrachella oshanensis,四川,Shengchao SHI and Yinmeng HOU and Zhaobin SONG and Jianping JIANG and Bin WANG (2021). A New Leaf Litter Toad ,记录类型无法判定（原表未标注且引用无线索）,待人工复核-未能在线定性,需人工,文献类型未能在线确认，建议查网盘原文（新纪录报道→事件表；调查/分类文→排除）
148,,Leptobrachella purpurus,,Jian Wang and Shuo Qi and Ke-Yuan Dai and Zhi-Tong Lyu and Zhao-Chi Zeng and Hong-Hui Chen and Yuan-Qiu Li and,记录类型无法判定（原表未标注且引用无线索）,待人工复核-未能在线定性,需人工,文献类型未能在线确认，建议查网盘原文（新纪录报道→事件表；调查/分类文→排除）
152,东方蝾螈,Cynops orientalis,浙江,YUNKE WU and YUEZHAO WANG and KE JIANG and JAMES HANKEN (2010). A new newt of the genus Cynops (Caudata: Salam,记录类型无法判定（原表未标注且引用无线索）,排除-伴随物种（分类学文献检视标本）,高,Wu et al. 2010 Cynops新种描述文，本行为检视标本产地
153,广东瘰螈,Cynops orphicus,广东、福建,YUNKE WU and YUEZHAO WANG and KE JIANG and JAMES HANKEN (2010). A new newt of the genus Cynops (Caudata: Salam,记录类型无法判定（原表未标注且引用无线索）,排除-伴随物种（分类学文献检视标本）,高,Wu et al. 2010 Cynops新种描述文，本行为检视标本产地
156,滇螈,Cynops wolterstorffi,,YUNKE WU and YUEZHAO WANG and KE JIANG and JAMES HANKEN (2010). A new newt of the genus Cynops (Caudata: Salam,记录类型无法判定（原表未标注且引用无线索）,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
158,东方蝾螈,Cynops orientalis,浙江,YUNKE WU and YUEZHAO WANG and KE JIANG and JAMES HANKEN (2010). A new newt of the genus Cynops (Caudata: Salam,记录类型无法判定（原表未标注且引用无线索）,排除-伴随物种（分类学文献检视标本）,高,Wu et al. 2010 Cynops新种描述文，本行为检视标本产地
159,广东瘰螈,Cynops orphicus,广东、福建,YUNKE WU and YUEZHAO WANG and KE JIANG and JAMES HANKEN (2010). A new newt of the genus Cynops (Caudata: Salam,记录类型无法判定（原表未标注且引用无线索）,排除-伴随物种（分类学文献检视标本）,高,Wu et al. 2010 Cynops新种描述文，本行为检视标本产地
160,滇螈,Cynops wolterstorffi,,YUNKE WU and YUEZHAO WANG and KE JIANG and JAMES HANKEN (2010). A new newt of the genus Cynops (Caudata: Salam,记录类型无法判定（原表未标注且引用无线索）,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
161,潮汕蝾螈,Cynops orphicus,广东,Zhiyong YUAN and Ke JIANG and Limin DING and Liang ZHANG and Jing CHE (2013). A New Newt of the Genus Cynops (,记录类型无法判定（原表未标注且引用无线索）,待人工复核-未能在线定性,需人工,文献类型未能在线确认，建议查网盘原文（新纪录报道→事件表；调查/分类文→排除）
169,蓝尾蝾螈,Cynops cyanurus,云南,Zhiyong YUAN and Ke JIANG and Limin DING and Liang ZHANG and Jing CHE (2013). A New Newt of the Genus Cynops (,记录类型无法判定（原表未标注且引用无线索）,待人工复核-未能在线定性,需人工,文献类型未能在线确认，建议查网盘原文（新纪录报道→事件表；调查/分类文→排除）
170,越南瘰螈,Paramesotriton deloustali,三岛,Zhiyong YUAN and Ke JIANG and Limin DING and Liang ZHANG and Jing CHE (2013). A New Newt of the Genus Cynops (,记录类型无法判定（原表未标注且引用无线索）,C 排除-记录地为国外省区,高,省份为国外行政区
171,,Triturus cristatus,图拉州,Zhiyong YUAN and Ke JIANG and Limin DING and Liang ZHANG and Jing CHE (2013). A New Newt of the Genus Cynops (,记录类型无法判定（原表未标注且引用无线索）,C 排除-记录地为国外省区,高,省份为国外行政区
174,克钦湍蛙,Amolops afghanus,,"ZHI-TONG LYU, ZHAO-CHI ZENG, HAN WAN, JIAN-HUAN YANG, YU-LONG LI, HONG PANG & YING-YONG WANG (2019). A new spe",新种描述文献中的伴随物种记录，非明确新纪录事件,C 排除-坐标在境外,高,坐标位于中国范围外
176,棕点湍蛙,Amolops loloensis,四川,"ZHI-TONG LYU, ZHAO-CHI ZENG, HAN WAN, JIAN-HUAN YANG, YU-LONG LI, HONG PANG & YING-YONG WANG (2019). A new spe",新种描述文献中的伴随物种记录，非明确新纪录事件,A4 排除(建议)-伴随物种记录,高-政策项,新种/分类文献中的伴随物种记录，无新纪录声明（与CBNR排除规则一致）；证据完备者可选保留为occurrence
177,四川湍蛙,Amolops mantzorum,四川,"ZHI-TONG LYU, ZHAO-CHI ZENG, HAN WAN, JIAN-HUAN YANG, YU-LONG LI, HONG PANG & YING-YONG WANG (2019). A new spe",新种描述文献中的伴随物种记录，非明确新纪录事件,A4 排除(建议)-伴随物种记录,高-政策项,新种/分类文献中的伴随物种记录，无新纪录声明（与CBNR排除规则一致）；证据完备者可选保留为occurrence
178,阿尼桥湍蛙,Amolops aniqiaoensis,西藏,"ZHI-TONG LYU, ZHAO-CHI ZENG, HAN WAN, JIAN-HUAN YANG, YU-LONG LI, HONG PANG & YING-YONG WANG (2019). A new spe",新种描述文献中的伴随物种记录，非明确新纪录事件,A4 排除(建议)-伴随物种记录,高-政策项,新种/分类文献中的伴随物种记录，无新纪录声明（与CBNR排除规则一致）；证据完备者可选保留为occurrence
179,棘皮湍蛙,Amolops granulosus,四川,"ZHI-TONG LYU, ZHAO-CHI ZENG, HAN WAN, JIAN-HUAN YANG, YU-LONG LI, HONG PANG & YING-YONG WANG (2019). A new spe",新种描述文献中的伴随物种记录，非明确新纪录事件,A4 排除(建议)-伴随物种记录,高-政策项,新种/分类文献中的伴随物种记录，无新纪录声明（与CBNR排除规则一致）；证据完备者可选保留为occurrence
188,武夷湍蛙,Amolops wuyiensis,福建,"YIK-HEI SUNG, PING HU, JIAN WANG, HAI-JUN LIU & YING-YONG WANG (2016). A new species of Amolops (Anura: Ranida",新种描述文献中的伴随物种记录，非明确新纪录事件,A4 排除(建议)-伴随物种记录,高-政策项,新种/分类文献中的伴随物种记录，无新纪录声明（与CBNR排除规则一致）；证据完备者可选保留为occurrence
189,花臭蛙,Odorrana schmackeri,安徽,"YIK-HEI SUNG, PING HU, JIAN WANG, HAI-JUN LIU & YING-YONG WANG (2016). A new species of Amolops (Anura: Ranida",新种描述文献中的伴随物种记录，非明确新纪录事件,A4 排除(建议)-伴随物种记录,高-政策项,新种/分类文献中的伴随物种记录，无新纪录声明（与CBNR排除规则一致）；证据完备者可选保留为occurrence
190,,Amolops margaretae,,"YIK-HEI SUNG, PING HU, JIAN WANG, HAI-JUN LIU & YING-YONG WANG (2016). A new species of Amolops (Anura: Ranida",新种描述文献中的伴随物种记录，非明确新纪录事件,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
191,白刺湍蛙,Amolops albispinus,湖南,ZHI-TONG LYU and JUN WU and JIAN WANG and YIK-HEI SUNG and ZU-YAO LIU and ZHAO-CHI ZENG and XIN WANG and YOU-Y,新种描述文献中的伴随物种记录，非明确新纪录事件,A4 排除(建议)-伴随物种记录,高-政策项,新种/分类文献中的伴随物种记录，无新纪录声明（与CBNR排除规则一致）；证据完备者可选保留为occurrence
192,昆明龙蜥,Diploderma varcoae,云南,王剀、任金龙、蒋珂、巫嘉伟、杨春华、徐会明、Kevin Messanger、雷开明、余辉亮、杨敬元、Cameron D. Siler、李家堂、车静 (2019). 龙蜥属Diploderma( 爬行纲Reptilia: ,记录类型无法判定（原表未标注且引用无线索）,待人工复核-未能在线定性,需人工,文献类型未能在线确认，建议查网盘原文（新纪录报道→事件表；调查/分类文→排除）
198,崇安湍蛙,Amolops chunganensis,福建,ZHI-TONG LYU and JUN WU and JIAN WANG and YIK-HEI SUNG and ZU-YAO LIU and ZHAO-CHI ZENG and XIN WANG and YOU-Y,新种描述文献中的伴随物种记录，非明确新纪录事件,A4 排除(建议)-伴随物种记录,高-政策项,新种/分类文献中的伴随物种记录，无新纪录声明（与CBNR排除规则一致）；证据完备者可选保留为occurrence
199,戴云湍蛙,Amolops daiyunensis,福建,ZHI-TONG LYU and JUN WU and JIAN WANG and YIK-HEI SUNG and ZU-YAO LIU and ZHAO-CHI ZENG and XIN WANG and YOU-Y,新种描述文献中的伴随物种记录，非明确新纪录事件,A4 排除(建议)-伴随物种记录,高-政策项,新种/分类文献中的伴随物种记录，无新纪录声明（与CBNR排除规则一致）；证据完备者可选保留为occurrence
200,海南湍蛙,Amolops hainanensis,海南,ZHI-TONG LYU and JUN WU and JIAN WANG and YIK-HEI SUNG and ZU-YAO LIU and ZHAO-CHI ZENG and XIN WANG and YOU-Y,新种描述文献中的伴随物种记录，非明确新纪录事件,A4 排除(建议)-伴随物种记录,高-政策项,新种/分类文献中的伴随物种记录，无新纪录声明（与CBNR排除规则一致）；证据完备者可选保留为occurrence
201,香港湍蛙,Amolops hongkongensis,香港,ZHI-TONG LYU and JUN WU and JIAN WANG and YIK-HEI SUNG and ZU-YAO LIU and ZHAO-CHI ZENG and XIN WANG and YOU-Y,新种描述文献中的伴随物种记录，非明确新纪录事件,A4 排除(建议)-伴随物种记录,高-政策项,新种/分类文献中的伴随物种记录，无新纪录声明（与CBNR排除规则一致）；证据完备者可选保留为occurrence
204,四川湍蛙,Amolops mantzorum,四川,ZHI-TONG LYU and JUN WU and JIAN WANG and YIK-HEI SUNG and ZU-YAO LIU and ZHAO-CHI ZENG and XIN WANG and YOU-Y,新种描述文献中的伴随物种记录，非明确新纪录事件,A4 排除(建议)-伴随物种记录,高-政策项,新种/分类文献中的伴随物种记录，无新纪录声明（与CBNR排除规则一致）；证据完备者可选保留为occurrence
205,小湍蛙,Amolops torrentis,海南,ZHI-TONG LYU and JUN WU and JIAN WANG and YIK-HEI SUNG and ZU-YAO LIU and ZHAO-CHI ZENG and XIN WANG and YOU-Y,新种描述文献中的伴随物种记录，非明确新纪录事件,A4 排除(建议)-伴随物种记录,高-政策项,新种/分类文献中的伴随物种记录，无新纪录声明（与CBNR排除规则一致）；证据完备者可选保留为occurrence
206,幕阜山角蟾,Boulenophrys mufumontana,,Deming Shen and Haiying Zhou and Chaoyang Wang and Jun Xu and Shi Xu and Yifeng Zhong and Zhenyu Wang and Hao ,新种描述文献中的伴随物种记录，非明确新纪录事件,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
207,短肢角蟾,Boulenophrys brachykolos,,Deming Shen and Haiying Zhou and Chaoyang Wang and Jun Xu and Shi Xu and Yifeng Zhong and Zhenyu Wang and Hao ,新种描述文献中的伴随物种记录，非明确新纪录事件,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
208,瑶山角蟾,Boulenophrys yaoshanensis,广西,Deming Shen and Haiying Zhou and Chaoyang Wang and Jun Xu and Shi Xu and Yifeng Zhong and Zhenyu Wang and Hao ,新种描述文献中的伴随物种记录，非明确新纪录事件,A4 排除(建议)-伴随物种记录,高-政策项,新种/分类文献中的伴随物种记录，无新纪录声明（与CBNR排除规则一致）；证据完备者可选保留为occurrence
209,衡山角蟾,Boulenophrys hengshanensis,湖南,Deming Shen and Haiying Zhou and Chaoyang Wang and Jun Xu and Shi Xu and Yifeng Zhong and Zhenyu Wang and Hao ,新种描述文献中的伴随物种记录，非明确新纪录事件,A4 排除(建议)-伴随物种记录,高-政策项,新种/分类文献中的伴随物种记录，无新纪录声明（与CBNR排除规则一致）；证据完备者可选保留为occurrence
214,,Kurixalus gryllus,,Junkai Huang and Xiao Long Liu and Lingyun Du and Justin M. Bernstein and Shuo Liu and Yun Yang and Guohua Yu ,新种描述文献中的伴随物种记录，非明确新纪录事件,B7 坐标在境内可反推省份,中,无省份但坐标在境内；反推省份后按其文献类型处理（多为伴随→排除）
215,,Raorchestes ghatei,,Junkai Huang and Xiao Long Liu and Lingyun Du and Justin M. Bernstein and Shuo Liu and Yun Yang and Guohua Yu ,新种描述文献中的伴随物种记录，非明确新纪录事件,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
220,中国水蛇,Ptyas korros,云南,Shuo Liu and Zhimin Li and Wenguang Duan and Mian Hou and Dingqi Rao (2024). A new species of Cyrtodactylus Gr,新种描述文献中的伴随物种记录，非明确新纪录事件,A4 排除(建议)-伴随物种记录,高-政策项,新种/分类文献中的伴随物种记录，无新纪录声明（与CBNR排除规则一致）；证据完备者可选保留为occurrence
224,赵氏弯趾虎,Cyrtodactylus zhaoermii,,Shun Ma and Sheng‐Chao Shi and Tian‐Yu Qian and Lu‐Lu Sui and Bin Wang and Jian‐Ping Jiang (2024). A New Speci,新种描述文献中的伴随物种记录，非明确新纪录事件,B7 坐标在境内可反推省份,中,无省份但坐标在境内；反推省份后按其文献类型处理（多为伴随→排除）
227,赵氏弯趾虎,Cyrtodactylus zhaoermii,,Shun Ma and Sheng‐Chao Shi and Tian‐Yu Qian and Lu‐Lu Sui and Bin Wang and Jian‐Ping Jiang (2024). A New Speci,新种描述文献中的伴随物种记录，非明确新纪录事件,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
231,墨脱高山蜥,Altiphylax medogense,,Shun Ma and Sheng‐Chao Shi and Tian‐Yu Qian and Lu‐Lu Sui and Bin Wang and Jian‐Ping Jiang (2024). A New Speci,新种描述文献中的伴随物种记录，非明确新纪录事件,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
236,赵氏裸趾虎,Cyrtodactylus zhaoermii,,Shun Ma and Sheng‐Chao Shi and Tian‐Yu Qian and Lu‐Lu Sui and Bin Wang and Jian‐Ping Jiang (2024). A New Speci,新种描述文献中的伴随物种记录，非明确新纪录事件,B7 坐标在境内可反推省份,中,无省份但坐标在境内；反推省份后按其文献类型处理（多为伴随→排除）
237,墨脱高山蜥,Altiphylax medogense,,Shun Ma and Sheng‐Chao Shi and Tian‐Yu Qian and Lu‐Lu Sui and Bin Wang and Jian‐Ping Jiang (2024). A New Speci,新种描述文献中的伴随物种记录，非明确新纪录事件,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
253,饰纹姬蛙,Microhyla mixtura,四川,Meihua ZHANG and Liang FEI and Changyuan YE and Yufan WANG and Bin Wang and Jianping JIANG (2018). A New Speci,新种描述文献中的伴随物种记录，非明确新纪录事件,A4 排除(建议)-伴随物种记录,高-政策项,新种/分类文献中的伴随物种记录，无新纪录声明（与CBNR排除规则一致）；证据完备者可选保留为occurrence
254,粗皮姬蛙,Microhyla butleri,吉隆坡、永富,Meihua ZHANG and Liang FEI and Changyuan YE and Yufan WANG and Bin Wang and Jianping JIANG (2018). A New Speci,新种描述文献中的伴随物种记录，非明确新纪录事件,C 排除-记录地为国外省区,高,省份为国外行政区
262,小弧斑姬蛙,Microhyla heymonsi,,Meihua ZHANG and Liang FEI and Changyuan YE and Yufan WANG and Bin Wang and Jianping JIANG (2018). A New Speci,新种描述文献中的伴随物种记录，非明确新纪录事件,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
264,,Microhyla okinavensis,冲绳县,Meihua ZHANG and Liang FEI and Changyuan YE and Yufan WANG and Bin Wang and Jianping JIANG (2018). A New Speci,新种描述文献中的伴随物种记录，非明确新纪录事件,C 排除-记录地为国外省区,高,省份为国外行政区
266,,Microhyla ornata,,Meihua ZHANG and Liang FEI and Changyuan YE and Yufan WANG and Bin Wang and Jianping JIANG (2018). A New Speci,新种描述文献中的伴随物种记录，非明确新纪录事件,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
280,,Homonota darwinii,,"LUCIANO JAVIER AVILA, CRISTIAN HERNAN FULVIO PEREZ, IGNACIO MINOLI & MARIANA MORANDO (2012). A new species of ",新种描述文献中的伴随物种记录，非明确新纪录事件,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
282,,Homonota fasciata,,"LUCIANO JAVIER AVILA, CRISTIAN HERNAN FULVIO PEREZ, IGNACIO MINOLI & MARIANA MORANDO (2012). A new species of ",新种描述文献中的伴随物种记录，非明确新纪录事件,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
283,,Homonota uruguayensis,,"LUCIANO JAVIER AVILA, CRISTIAN HERNAN FULVIO PEREZ, IGNACIO MINOLI & MARIANA MORANDO (2012). A new species of ",新种描述文献中的伴随物种记录，非明确新纪录事件,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
284,,Homonota rupicola,,"LUCIANO JAVIER AVILA, CRISTIAN HERNAN FULVIO PEREZ, IGNACIO MINOLI & MARIANA MORANDO (2012). A new species of ",新种描述文献中的伴随物种记录，非明确新纪录事件,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
290,蓝尾石龙子,Plestiodon elegans,,nan,记录类型无法判定（原表未标注且引用无线索）,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
291,印度蜓蜥,Sphenomorphus indicus,,nan,记录类型无法判定（原表未标注且引用无线索）,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
294,中国壁虎,Gekko chinensis,海南、广东、广西,nan,记录类型无法判定（原表未标注且引用无线索）,待溯源-无引用信息,需人工,该行无文献引用，无法验证记录性质；请补充来源后再判定（建议查网盘合并前原始表）
295,草绿攀蜥,Japalura flaviceps,西藏,Kai WANG and Ke JIANG and Gang PAN and Mian HOU and Cameron D. SILER and Jing CHE (2015). A New Species of Jap,新种描述文献中的伴随物种记录，非明确新纪录事件,A4 排除(建议)-伴随物种记录,高-政策项,新种/分类文献中的伴随物种记录，无新纪录声明（与CBNR排除规则一致）；证据完备者可选保留为occurrence
296,巴塘攀蜥,Japalura batangensis,,Kai WANG and Ke JIANG and Gang PAN and Mian HOU and Cameron D. SILER and Jing CHE (2015). A New Species of Jap,新种描述文献中的伴随物种记录，非明确新纪录事件,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
297,米仓山攀蜥,Japalura micangshanensis,,Kai WANG and Ke JIANG and Gang PAN and Mian HOU and Cameron D. SILER and Jing CHE (2015). A New Species of Jap,新种描述文献中的伴随物种记录，非明确新纪录事件,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
